seed,fold,feature_set,model,balanced_accuracy,f1,roc_auc,average_precision,precision,recall
0,0,clinical_only,dummy_most_frequent,0.5,0.8275862068965517,0.5,0.7058823529411765,0.7058823529411765,1.0
0,1,clinical_only,dummy_most_frequent,0.5,0.8275862068965517,0.5,0.7058823529411765,0.7058823529411765,1.0
0,2,clinical_only,dummy_most_frequent,0.5,0.8275862068965517,0.5,0.7058823529411765,0.7058823529411765,1.0
0,3,clinical_only,dummy_most_frequent,0.5,0.8275862068965517,0.5,0.7058823529411765,0.7058823529411765,1.0
0,4,clinical_only,dummy_most_frequent,0.5,0.7857142857142857,0.5,0.6470588235294118,0.6470588235294118,1.0
0,0,clinical_only,dummy_stratified,0.5333333333333333,0.6956521739130435,0.5333333333333333,0.7201426024955437,0.7272727272727273,0.6666666666666666
0,1,clinical_only,dummy_stratified,0.3916666666666667,0.6086956521739131,0.3916666666666667,0.6653297682709447,0.6363636363636364,0.5833333333333334
0,2,clinical_only,dummy_stratified,0.3916666666666667,0.6086956521739131,0.3916666666666667,0.6653297682709447,0.6363636363636364,0.5833333333333334
0,3,clinical_only,dummy_stratified,0.5333333333333333,0.6956521739130435,0.5333333333333333,0.7201426024955437,0.7272727272727273,0.6666666666666666
0,4,clinical_only,dummy_stratified,0.356060606060606,0.5454545454545454,0.356060606060606,0.5916383082158483,0.5454545454545454,0.5454545454545454
0,0,clinical_only,logistic_regression,0.6166666666666667,0.8,0.6333333333333333,0.8409123284123284,0.7692307692307693,0.8333333333333334
0,1,clinical_only,logistic_regression,0.65,0.631578947368421,0.6666666666666666,0.8465820671703025,0.8571428571428571,0.5
0,2,clinical_only,logistic_regression,0.775,0.8181818181818182,0.9,0.9613858363858364,0.9,0.75
0,3,clinical_only,logistic_regression,0.7333333333333334,0.7619047619047619,0.8333333333333334,0.8877666315166316,0.8888888888888888,0.6666666666666666
0,4,clinical_only,logistic_regression,0.6212121212121212,0.8,0.8484848484848485,0.9242229992229992,0.7142857142857143,0.9090909090909091
0,0,clinical_only,random_forest,0.5166666666666667,0.7692307692307693,0.6333333333333333,0.8366973304473305,0.7142857142857143,0.8333333333333334
0,1,clinical_only,random_forest,0.875,0.8571428571428571,1.0,0.9999999999999999,1.0,0.75
0,2,clinical_only,random_forest,0.6,0.8571428571428571,0.9166666666666667,0.9676989676989677,0.75,1.0
0,3,clinical_only,random_forest,0.7583333333333333,0.88,0.7833333333333333,0.8128276815776815,0.8461538461538461,0.9166666666666666
0,4,clinical_only,random_forest,0.7045454545454546,0.8333333333333334,0.803030303030303,0.9006561620197984,0.7692307692307693,0.9090909090909091
