seed,fold,model,feature_set,balanced_accuracy,f1,average_precision,precision,recall,roc_auc
2024,1,pytorch_multimodal_mlp,multimodal,0.5583333333333333,0.8148148148148148,0.9082281144781145,0.7333333333333333,0.9166666666666666,0.7666666666666666
2024,2,pytorch_multimodal_mlp,multimodal,0.6333333333333333,0.7272727272727273,0.8878179690679692,0.8,0.6666666666666666,0.7
2024,3,pytorch_multimodal_mlp,multimodal,0.8333333333333333,0.8,0.9462343212343213,1.0,0.6666666666666666,0.8666666666666667
2024,4,pytorch_multimodal_mlp,multimodal,0.696969696969697,0.7619047619047619,0.9247880906971816,0.8,0.7272727272727273,0.8636363636363638
2025,0,pytorch_multimodal_mlp,multimodal,0.65,0.631578947368421,0.9213594276094277,0.8571428571428571,0.5,0.8
2025,1,pytorch_multimodal_mlp,multimodal,0.6333333333333333,0.7272727272727273,0.9265583953083953,0.8,0.6666666666666666,0.8333333333333333
2025,2,pytorch_multimodal_mlp,multimodal,0.5916666666666667,0.6666666666666666,0.8512658637658638,0.7777777777777778,0.5833333333333334,0.6833333333333333
2025,3,pytorch_multimodal_mlp,multimodal,0.775,0.8181818181818182,0.955093925682161,0.9,0.75,0.8666666666666666
2025,4,pytorch_multimodal_mlp,multimodal,0.7424242424242424,0.8181818181818182,0.9339761248852159,0.8181818181818182,0.8181818181818182,0.8636363636363636
2026,0,pytorch_multimodal_mlp,multimodal,0.875,0.8571428571428571,0.9811507936507936,1.0,0.75,0.95
2026,1,pytorch_multimodal_mlp,multimodal,0.575,0.75,0.8377662302294655,0.75,0.75,0.6
2026,2,pytorch_multimodal_mlp,multimodal,0.5333333333333333,0.6956521739130435,0.8143911643911644,0.7272727272727273,0.6666666666666666,0.6333333333333333
2026,3,pytorch_multimodal_mlp,multimodal,0.775,0.8181818181818182,0.9530525030525031,0.9,0.75,0.8833333333333333
2026,4,pytorch_multimodal_mlp,multimodal,0.7727272727272727,0.7058823529411765,0.9220959595959596,1.0,0.5454545454545454,0.8181818181818182
