epoch,train_loss,val_loss,seed,fold
0,0.45145283639431,0.42466822266578674,0,0
1,0.4443776160478592,0.41764023900032043,0,0
2,0.4075276777148247,0.4061264395713806,0,0
3,0.4108857810497284,0.39438074827194214,0,0
4,0.36651935428380966,0.38369616866111755,0,0
5,0.36119819432497025,0.3716176152229309,0,0
6,0.3635275140404701,0.36125653982162476,0,0
7,0.33802415430545807,0.35481560230255127,0,0
8,0.32688184827566147,0.34786245226860046,0,0
9,0.3128384053707123,0.34494468569755554,0,0
10,0.3078809008002281,0.3413246273994446,0,0
11,0.3203379958868027,0.33699801564216614,0,0
12,0.30614520609378815,0.33253777027130127,0,0
13,0.2873547002673149,0.32813769578933716,0,0
14,0.29104622453451157,0.3261818289756775,0,0
15,0.30761153995990753,0.3224581480026245,0,0
16,0.2840559184551239,0.31917378306388855,0,0
17,0.2665930353105068,0.3185288608074188,0,0
18,0.23608531430363655,0.31864556670188904,0,0
19,0.2654595337808132,0.31853675842285156,0,0
20,0.26020481809973717,0.3199295997619629,0,0
21,0.21108515933156013,0.31843534111976624,0,0
22,0.2517968900501728,0.3171449601650238,0,0
23,0.28181610628962517,0.3182752728462219,0,0
24,0.24566569179296494,0.31730493903160095,0,0
25,0.22567999362945557,0.3167628347873688,0,0
26,0.22469854727387428,0.3150918483734131,0,0
27,0.19432184100151062,0.3178991973400116,0,0
28,0.20651550590991974,0.3172878623008728,0,0
29,0.1876891478896141,0.31771165132522583,0,0
30,0.23767799511551857,0.31560149788856506,0,0
31,0.18954291194677353,0.31589022278785706,0,0
32,0.18608678504824638,0.3195576071739197,0,0
33,0.15641579031944275,0.3261599540710449,0,0
34,0.16847578063607216,0.32285889983177185,0,0
35,0.1987900324165821,0.3190978169441223,0,0
36,0.1467416137456894,0.32032471895217896,0,0
37,0.20566146075725555,0.32241231203079224,0,0
38,0.13868389651179314,0.3201832175254822,0,0
39,0.17372114211320877,0.32227468490600586,0,0
40,0.15910258144140244,0.3212742209434509,0,0
41,0.15657947584986687,0.3167186677455902,0,0
42,0.13168277777731419,0.31843575835227966,0,0
43,0.14334147609770298,0.3201669156551361,0,0
44,0.13586056232452393,0.32236263155937195,0,0
45,0.10989459790289402,0.3206377923488617,0,0
46,0.12383139878511429,0.31711840629577637,0,0
47,0.1374236550182104,0.32422301173210144,0,0
48,0.14587008766829967,0.334075391292572,0,0
49,0.11534874327480793,0.33806556463241577,0,0
50,0.11962346732616425,0.3366223871707916,0,0
51,0.08628563582897186,0.3336552083492279,0,0
52,0.09987537935376167,0.3265444338321686,0,0
53,0.09926281683146954,0.327721506357193,0,0
54,0.09744018502533436,0.33589375019073486,0,0
55,0.09649587422609329,0.3428369462490082,0,0
56,0.17011604458093643,0.34315580129623413,0,0
0,0.41767312586307526,0.4083479344844818,0,1
1,0.4424763545393944,0.4029468297958374,0,1
2,0.4041318893432617,0.3976631760597229,0,1
3,0.3713380694389343,0.39365658164024353,0,1
4,0.4018711745738983,0.3901478052139282,0,1
5,0.374547116458416,0.38565894961357117,0,1
6,0.3368290401995182,0.38201937079429626,0,1
7,0.3181889057159424,0.37890759110450745,0,1
8,0.34957654029130936,0.37536799907684326,0,1
9,0.32092975825071335,0.37104499340057373,0,1
10,0.296875424683094,0.36783158779144287,0,1
11,0.2911493852734566,0.3678766191005707,0,1
12,0.3022935464978218,0.36720770597457886,0,1
13,0.2916751652956009,0.36827006936073303,0,1
14,0.2870112285017967,0.3674870431423187,0,1
15,0.30999046564102173,0.3663031756877899,0,1
16,0.24393334984779358,0.363038569688797,0,1
17,0.28737518191337585,0.36530598998069763,0,1
18,0.2952968403697014,0.3630348742008209,0,1
19,0.29773692786693573,0.3635003864765167,0,1
20,0.24749615043401718,0.3601212799549103,0,1
21,0.2559889443218708,0.3585011065006256,0,1
22,0.38572947680950165,0.35661596059799194,0,1
23,0.2226252779364586,0.3587692379951477,0,1
24,0.2463451474905014,0.36361899971961975,0,1
25,0.3586789183318615,0.35960498452186584,0,1
26,0.22923481836915016,0.3615852892398834,0,1
27,0.2268741987645626,0.3593688905239105,0,1
28,0.21737337112426758,0.3599563539028168,0,1
29,0.23951637372374535,0.35907241702079773,0,1
30,0.1871306635439396,0.35719600319862366,0,1
31,0.2426810935139656,0.35823413729667664,0,1
32,0.19534965232014656,0.35583335161209106,0,1
33,0.20094924047589302,0.3508542776107788,0,1
34,0.17593201622366905,0.35182860493659973,0,1
35,0.1806989274919033,0.350634902715683,0,1
36,0.20542849600315094,0.34661203622817993,0,1
37,0.17665186896920204,0.34260043501853943,0,1
38,0.17239736765623093,0.34017178416252136,0,1
39,0.14204998314380646,0.33975279331207275,0,1
40,0.16667861863970757,0.33694055676460266,0,1
41,0.15073764696717262,0.33736106753349304,0,1
42,0.1386827528476715,0.33514338731765747,0,1
43,0.14272747933864594,0.33420172333717346,0,1
44,0.14711608737707138,0.3343504071235657,0,1
45,0.14681067317724228,0.33087119460105896,0,1
46,0.1515571717172861,0.3316774368286133,0,1
47,0.12150067649781704,0.3324415683746338,0,1
48,0.13368979841470718,0.33118462562561035,0,1
49,0.13436072319746017,0.3346833288669586,0,1
50,0.1451905146241188,0.33133363723754883,0,1
51,0.15631123632192612,0.33561432361602783,0,1
52,0.10024513490498066,0.33281150460243225,0,1
53,0.11856767162680626,0.33671507239341736,0,1
54,0.13396883942186832,0.33818668127059937,0,1
55,0.10169918090105057,0.3431127369403839,0,1
56,0.11025962419807911,0.34416207671165466,0,1
57,0.10545920208096504,0.3414333462715149,0,1
58,0.10672006756067276,0.3401969075202942,0,1
59,0.07703544944524765,0.337035596370697,0,1
60,0.11270611360669136,0.3393658399581909,0,1
61,0.09851734805852175,0.342074453830719,0,1
62,0.18644069135189056,0.3483631908893585,0,1
63,0.14238128438591957,0.3491613566875458,0,1
64,0.10749227181077003,0.33880120515823364,0,1
65,0.18891058955341578,0.34228387475013733,0,1
66,0.08107620477676392,0.33838218450546265,0,1
67,0.17083725798875093,0.3362995386123657,0,1
68,0.06539318058639765,0.3337341547012329,0,1
69,0.0700228363275528,0.3316439390182495,0,1
70,0.07821356877684593,0.3409787118434906,0,1
71,0.12841130420565605,0.3457827866077423,0,1
72,0.12432190962135792,0.35375943779945374,0,1
73,0.06558619998395443,0.3536156117916107,0,1
74,0.06858604401350021,0.35595712065696716,0,1
75,0.06848561950027943,0.35867103934288025,0,1
0,0.46199028193950653,0.4240885078907013,0,2
1,0.4099804386496544,0.4197816252708435,0,2
2,0.4393865466117859,0.4132639467716217,0,2
3,0.4089827239513397,0.4033125042915344,0,2
4,0.4024481326341629,0.3916186988353729,0,2
5,0.41723065823316574,0.3839004933834076,0,2
